iteration,population,w0,w1,w2,w3,segregation
4, 9,  0.77, 0.79, 0.07, 0.47 , 1.0584448982683192
4, 10,  0.77, 0.79, 0.07, 0.49 , 1.0559270034233716
4, 11,  0.77, 0.79, 0.07, 0.48 , 0.9255927211598262
4, 12,  0.77, 0.79, 0.09, 0.47 , 1.0282789694522858
4, 13,  0.77, 0.79, 0.09, 0.49 , 1.0990424831643215
4, 14,  0.77, 0.79, 0.09, 0.48 , 0.898169041460998
4, 15,  0.77, 0.79, 0.08, 0.47 , 0.7860993790937565
4, 16,  0.77, 0.79, 0.08, 0.49 , 1.165509768111308
4, 17,  0.77, 0.79, 0.08, 0.48 , 0.9240083156716662
4, 18,  0.77, 0.78, 0.07, 0.47 , 1.1756033689136218
4, 19,  0.77, 0.78, 0.07, 0.49 , 1.004500006075741
4, 20,  0.77, 0.78, 0.07, 0.48 , 0.8714531810305642
4, 21,  0.77, 0.78, 0.09, 0.47 , 1.0315407052210999
4, 22,  0.77, 0.78, 0.09, 0.49 , 0.9751747245295908
4, 23,  0.77, 0.78, 0.09, 0.48 , 1.1168447393064076
4, 24,  0.77, 0.78, 0.08, 0.47 , 0.9897827154161367
4, 25,  0.77, 0.78, 0.08, 0.49 , 0.8523730373729145
4, 26,  0.77, 0.78, 0.08, 0.48 , 1.0846009376938313
4, 27,  0.79, 0.77, 0.07, 0.47 , 1.0517759619853324
4, 28,  0.79, 0.77, 0.07, 0.49 , 0.8526076794503639
4, 29,  0.79, 0.77, 0.07, 0.48 , 1.3775828871740783
4, 30,  0.79, 0.77, 0.09, 0.47 , 1.2228301814498863
4, 31,  0.79, 0.77, 0.09, 0.49 , 0.8587405509143705
4, 32,  0.79, 0.77, 0.09, 0.48 , 1.5065983171662811
4, 33,  0.79, 0.77, 0.08, 0.47 , 0.9784309803131863
4, 34,  0.79, 0.77, 0.08, 0.49 , 1.3968520360764418
4, 35,  0.79, 0.77, 0.08, 0.48 , 1.1599390627037673
4, 36,  0.79, 0.79, 0.07, 0.47 , 0.8885698513668178
4, 37,  0.79, 0.79, 0.07, 0.49 , 1.2840697924429842
4, 38,  0.79, 0.79, 0.07, 0.48 , 1.037422241261649
4, 39,  0.79, 0.79, 0.09, 0.47 , 1.4691816173814065
4, 40,  0.79, 0.79, 0.08, 0.47 , 0.7867501128304489
4, 41,  0.79, 0.78, 0.07, 0.47 , 1.1259433202485647
4, 42,  0.79, 0.78, 0.07, 0.49 , 1.2610185032496184
4, 43,  0.79, 0.78, 0.07, 0.48 , 0.7861469544637933
4, 44,  0.79, 0.78, 0.09, 0.47 , 1.0301764135502902
4, 45,  0.79, 0.78, 0.08, 0.47 , 1.476273485238468
4, 46,  0.78, 0.77, 0.07, 0.47 , 1.3562675877450243
4, 47,  0.78, 0.77, 0.07, 0.49 , 0.9216533823358919
4, 48,  0.78, 0.77, 0.07, 0.48 , 1.266928594210257
4, 49,  0.78, 0.77, 0.09, 0.47 , 1.320513847049236
4, 50,  0.78, 0.77, 0.09, 0.49 , 1.2505728841143322
4, 51,  0.78, 0.77, 0.09, 0.48 , 0.95302361003839
4, 52,  0.78, 0.77, 0.08, 0.47 , 1.0548448988315873
4, 53,  0.78, 0.77, 0.08, 0.49 , 0.9835429991716598
4, 54,  0.78, 0.77, 0.08, 0.48 , 0.7432030355323471
4, 55,  0.78, 0.79, 0.07, 0.47 , 1.5309758012281505
4, 56,  0.78, 0.79, 0.07, 0.49 , 0.9191977398764618
4, 57,  0.78, 0.79, 0.07, 0.48 , 0.8181669481109264
4, 58,  0.78, 0.79, 0.09, 0.47 , 0.9259097680159305
4, 59,  0.78, 0.79, 0.08, 0.47 , 1.0560468138646653
4, 60,  0.78, 0.78, 0.07, 0.47 , 0.9797159320265972
4, 61,  0.78, 0.78, 0.07, 0.49 , 1.0430764241633175
4, 62,  0.78, 0.78, 0.07, 0.48 , 0.9752843908431033
4, 63,  0.78, 0.78, 0.09, 0.47 , 0.8710809964569176
4, 64,  0.78, 0.78, 0.08, 0.47 , 1.6403068088740238
4, 65,  0.77, 0.77, 0.07, 0.49 , 1.0292414528373859
4, 66,  0.77, 0.77, 0.07, 0.51 , 1.4136672375400772
4, 67,  0.77, 0.77, 0.07, 0.5 , 1.568748101809947
4, 68,  0.77, 0.77, 0.09, 0.49 , 0.8502069543397959
4, 69,  0.77, 0.77, 0.09, 0.51 , 1.1933456266745637
4, 70,  0.77, 0.77, 0.09, 0.5 , 1.074523520120509
4, 71,  0.77, 0.77, 0.08, 0.49 , 0.7514628464922997
4, 72,  0.77, 0.77, 0.08, 0.51 , 0.9716223198166482
4, 73,  0.77, 0.77, 0.08, 0.5 , 1.3061915222299632
4, 74,  0.77, 0.79, 0.07, 0.49 , 1.0559270034233716
4, 75,  0.77, 0.79, 0.07, 0.51 , 0.7530365814413902
4, 76,  0.77, 0.79, 0.07, 0.5 , 1.336394736828827
4, 77,  0.77, 0.79, 0.09, 0.49 , 1.0990424831643215
4, 78,  0.77, 0.79, 0.09, 0.51 , 0.9540360009989028
4, 79,  0.77, 0.79, 0.09, 0.5 , 0.9340746431540082
4, 80,  0.77, 0.79, 0.08, 0.49 , 1.165509768111308
4, 81,  0.77, 0.79, 0.08, 0.51 , 1.600277570330128
4, 82,  0.77, 0.79, 0.08, 0.5 , 0.9887653533611918
4, 83,  0.77, 0.78, 0.07, 0.49 , 1.004500006075741
4, 84,  0.77, 0.78, 0.07, 0.51 , 0.9201266357099959
4, 85,  0.77, 0.78, 0.07, 0.5 , 0.9378027496818796
4, 86,  0.77, 0.78, 0.09, 0.49 , 0.9751747245295908
4, 87,  0.77, 0.78, 0.09, 0.51 , 0.8712858845738622
4, 88,  0.77, 0.78, 0.09, 0.5 , 1.3011392484431448
4, 89,  0.77, 0.78, 0.08, 0.49 , 0.8602903653423349
4, 90,  0.77, 0.78, 0.08, 0.51 , 1.1110962154627526
4, 91,  0.77, 0.78, 0.08, 0.5 , 0.9987290205153599
